Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061438 - 0,948.71,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061439 - 1,568.52,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061440 - 0,544.02,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061441 - 1,560.18,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061442 - 0,2862.39,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061444 - 0,1427.4,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061445 - 1,760,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061447 - 1,3584.82,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061448 - 0,563.42,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061449 - 1,600.12,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061450 - 0,601.41,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061451 - 1,620.35,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061452 - 0,916.22,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061453 - 1,705.69,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061455 - 1,573.77,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061457 - 1,860.49,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061461 - 1,1729.28,Revenue,20002254,GRAFTON MERCHANTING GB LTD
OCC,Direct Services,Materials,D3021,27/09/2016,60061466 - 1,1937.16,Revenue,20002254,GRAFTON MERCHANTING GB LTD
OCC,Direct Services,Materials,D3021,27/09/2016,60061470 - 1,1296.96,Revenue,20002254,GRAFTON MERCHANTING GB LTD
OCC,Direct Services,Materials,D3021,27/09/2016,60061471 - 0,664.1,Revenue,20002680,OXFORD SAFETY SUPPLIES
OCC,Direct Services,Materials,D3021,27/09/2016,60061476 - 1,642.49,Revenue,20002434,TOOLMASTER (OXFORD) LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061477 - 0,731.5,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061478 - 1,731.5,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061479 - 0,824.51,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061490 - 1,1957.79,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061492 - 1,496.56,Revenue,20002464,WOLSELEY UK LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061495 - 0,874.93,Revenue,20002464,WOLSELEY UK LIMITED
